nro_proveedor,nombre_proveedor,cuit,categoria_proveedor,tipo_contribuyente_id,contacto,correo,telefono,importe,fecha,nro_cuenta_id,ciudad,pais
P00022,Roberto Morales S.R.L.,30-98765431-5,AGENTE /IMPOSITIVO,5,Roberto Morales,roberto.morales@correo.com,2345-6789,165.406,2024-02-27,36,,Argentina
P00022,Roberto Morales S.R.L.,30-98765431-5,AGENTE /IMPOSITIVO,5,Roberto Morales,roberto.morales@correo.com,2345-6789,174.615,2024-03-14,38,,Argentina
P00022,Roberto Morales S.R.L.,30-98765431-5,AGENTE /IMPOSITIVO,5,Roberto Morales,roberto.morales@correo.com,2345-6789,214.016,2024-01-18,36,,Argentina
P00023,Inversiones Sigma S.A.,30-12345670-6,SERVICIOS,5,Carlos Jiménez,carlos.jimenez@empresa.com,3456-7890,128.799,2024-01-12,19,,Argentina
P00023,Inversiones Sigma S.A.,30-12345670-6,SERVICIOS,5,Carlos Jiménez,carlos.jimenez@empresa.com,3456-7890,197.818,2024-02-29,19,,Argentina
P00024,Mariana Rodríguez S.R.L.,30-87654330-7,SERVICIOS,4,Mariana Rodríguez,mariana.rodriguez@correo.zom,4567-8901,246.479,2024-03-11,21,,Argentina
P00024,Mariana Rodríguez S.R.L.,30-87654330-7,SERVICIOS,4,Mariana Rodríguez,mariana.rodriguez@correo.zom,4567-8901,108.316,2024-04-02,21,,Argentina
P00025,Servicios Delta S.A.,30-13579249-8,AGENTE /IMPOSITIVO,5,Sergio García,sergio.garcia@empresa.zom,5678-9012,231.991,2024-05-30,24,,Argentina
P00025,Servicios Delta S.A.,30-13579249-8,AGENTE /IMPOSITIVO,5,Sergio García,sergio.garcia@empresa.zom,5678-9012,156.68,2024-06-05,24,,Argentina
P00026,Carlos López S.R.L.,30-24681359-9,MATERIALES,4,Carlos López,carlos.lopez@correo.com,6789-0123,92.65,2024-01-09,27,,Argentina
P00026,Carlos López S.R.L.,30-24681359-9,MATERIALES,4,Carlos López,carlos.lopez@correo.com,6789-0123,185.402,2024-05-07,27,,Argentina
P00027,Compañía Zeta S.A.,30-97531248-0,SERVICIOS,5,Ana García,ana.garcia@empresa.com,7890-1234,24.71,2024-02-29,36,,Argentina
P00027,Compañía Zeta S.A.,30-97531248-0,SERVICIOS,5,Ana García,ana.garcia@empresa.com,7890-1234,224.365,2024-03-26,36,,Argentina
P00028,Andrés Martínez S.R.L.,30-86430977-1,MATERIALES,5,Andrés Martínez,andres.martinez@correo.zom,8901-2345,220.966,2024-03-25,38,,Argentina
P00028,Andrés Martínez S.R.L.,30-86430977-1,MATERIALES,5,Andrés Martínez,andres.martinez@correo.zom,8901-2345,209.46,2024-05-06,38,,Argentina
P00029,Grupo Omega S.A.,30-19283748-2,SERVICIOS,4,Laura Fernández,laura.fernandez@correo.com,9012-3456,217.766,2024-03-12,19,,Argentina
P00031,María Gómez S.A.,30-45678903-4,MATERIALES,4,María Gómez,maria.gomez@correo.zom,1234-5678,209.204,2024-01-20,24,,Argentina
P00032,Repuestos Zeta S.R.L.,30-98765430-5,AGENTE /IMPOSITIVO,5,Roberto Ruiz,roberto.ruiz@empresa.zom,2345-6789,156.568,2024-01-01,27,,Argentina
P00033,Servicios S.A.,30-12345679-0,SERVICIOS,4,Gabriela Sánchez,gabriela.sanchez@correo.zom,3456-7890,32.0,2024-01-29,36,,Argentina
P00033,Servicios S.A.,30-12345679-0,SERVICIOS,4,Gabriela Sánchez,gabriela.sanchez@correo.zom,3456-7890,150.42,2024-03-29,36,,Argentina
P00034,Empresas S.R.L.,30-87654321-1,MATERIALES,5,Ana López,ana.lopez@empresa.zom,4567-8901,46.612,2024-03-02,38,,Argentina
P00035,Victor Pérez S.A.,30-13579246-7,SERVICIOS,4,Victor Pérez,victor.perez@correo.zom,5678-9012,212.855,2024-05-18,19,,Argentina
P00036,Consultora S.R.L.,30-24681360-8,SERVICIOS,5,Marcela Martínez,marcela.martinez@empresa.zom,6789-0123,83.555,2024-01-04,21,,Argentina
P00038,Laura Fernández S.R.L.,30-86430978-0,SERVICIOS,4,Laura Fernández,laura.fernandez@empresa.zom,AR8901-2345,10.164,2024-06-02,27,,Argentina
P00039,Estudio Zeta S.A.,30-19283749-1,AGENTE /IMPOSITIVO,5,Estudio Zeta,estudio.zeta@correo.zom,9012-3456,201.108,2024-03-23,36,,Argentina
P00040,Javier Martínez S.R.L.,30-32165488-2,MATERIALES,5,Javier Martínez,javier.martinez@correo.com,0123-4567,152.989,2024-03-18,38,,Argentina
P00041,Proveedora S.R.L.,30-45678904-3,SERVICIOS,4,Proveedora SRL,proveedora.srl@empresa.zom,1234-5678,216.059,2024-01-19,19,,Argentina
P00042,Gabriela López S.R.L.,30-98765433-4,MATERIALES,5,Gabriela López,gabriela.lopez@correo.zom,2345-6789,203.31,2024-02-14,21,,Argentina
P00043,Ricardo García S.A.,30-12345679-5,AGENTE /IMPOSITIVO,4,Ricardo García,ricardo.garcia@empresa.zom,3456-7890,42.905,2024-04-15,24,,Argentina
P00044,Grupo Beta S.R.L.,30-87654322-6,SERVICIOS,5,María Rodríguez,maria.rodriguez@correo.zom,4567-8901,108.214,2024-03-20,27,,Argentina
P00045,Compañía Zeta S.A.,30-13579247-7,MATERIALES,4,Gabriela Torres,gabriela.torres@empresa.com,5678-9012,121.389,2024-06-29,36,,Argentina
P00046,Pedro Ruiz S.R.L.,30-24681361-8,AGENTE /IMPOSITIVO,5,Pedro Ruiz,pedro.ruiz@correo.com,6789-0123,204.022,2024-01-26,38,,Argentina
P00047,Servicios S.R.L.,30-97531246-9,SERVICIOS,5,Servicios SRL,servicios.srl@empresa.zom,7890-1234,238.252,2024-05-01,19,,Argentina
P00049,Mariana García S.A.,30-19283750-1,AGENTE /IMPOSITIVO,5,Mariana García,mariana.garcia@correo.com,9012-3456,43.426,2024-02-23,24,,Argentina
P00050,Servicios Zeta S.R.L.,30-32165499-2,SERVICIOS,4,Servicios Zeta,servicios.zeta@empresa.zom,0123-4567,184.371,2024-01-04,27,,Argentina
P00051,Gabriela Morales S.A.,30-45678905-3,MATERIALES,5,Gabriela Morales,gabriela.morales@correo.zom,AR1234-5678,142.46,2024-03-17,36,,Argentina
P00052,Pedro Sánchez S.R.L.,30-98765434-4,AGENTE /IMPOSITIVO,4,Pedro Sánchez,pedro.sanchez@correo.zom,2345-6789,153.937,2024-02-18,38,,Argentina
P00054,Claudia Ruiz S.R.L.,30-87654322-5,MATERIALES,4,Claudia Ruiz,claudia.ruiz@empresa.zom,4567-8901,40.126,2024-01-08,21,,Argentina
P00056,Repuestos S.R.L.,30-97531249-7,MATERIALES,4,Roberto Díaz,roberto.diaz@correo.zom,6789-0123,71.853,2024-05-02,27,,Argentina
P00057,Consultora Beta S.A.,30-13579248-8,AGENTE /IMPOSITIVO,5,Consultora Beta,consultora.beta@empresa.zom,7890-1234,51.264,2024-04-12,36,,Argentina
P00058,Alejandro Martínez S.R.L.,30-86430980-9,SERVICIOS,4,Alejandro Martínez,alejandro.martinez@correo.com,8901-2345,144.695,2024-02-19,38,,Argentina
P00059,Proveedores S.R.L.,30-19283751-0,SERVICIOS,5,Proveedores SRL,proveedores.srl@empresa.zom,9012-3456,117.707,2024-01-29,19,,Argentina
P00060,Roberto Pérez S.R.L.,30-32165488-1,AGENTE /IMPOSITIVO,4,Roberto Pérez,roberto.perez@correo.zom,0123-4567,85.688,2024-01-06,24,,Argentina
P00060,Roberto Pérez S.R.L.,30-32165488-1,AGENTE /IMPOSITIVO,4,Roberto Pérez,roberto.perez@correo.zom,0123-4567,24.035,2024-02-27,21,,Argentina
P00061,Servicios Zeta S.A.,30-45678906-2,SERVICIOS,5,Servicios Zeta,servicios.zeta@empresa.com,AR1234-5678,153.273,2024-02-14,27,,Argentina
P00062,Ana Gómez S.R.L.,30-98765435-3,MATERIALES,4,Ana Gómez,ana.gomez@correo.com,2345-6789,188.554,2024-06-17,36,,Argentina
P00063,Grupo S.R.L.,30-13579249-4,AGENTE /IMPOSITIVO,5,Grupo SRL,grupo.srl@empresa.zom,3456-7890,112.835,2024-02-22,38,,Argentina
P00064,Consultora S.R.L.,30-24681362-5,SERVICIOS,4,Consultora S.A.S.,consultora@correo.com,4567-8901,146.153,2024-02-29,19,,Argentina
P00065,Servicios Beta S.A.,30-97531250-6,MATERIALES,5,Laura Gómez,laura.gomez@empresa.zom,5678-9012,45.663,2024-01-05,21,,Argentina
P00066,Marta López S.R.L.,30-86430981-7,SERVICIOS,4,Marta López,marta.lopez@correo.zom,6789-0123,158.588,2024-03-13,24,,Argentina
P00067,Estudio Jurídico S.A.,30-19283752-8,MATERIALES,5,Estudio Jurídico,estudio.juridico@correo.com,7890-1234,15.039,2024-05-13,27,,Argentina
P00068,Roberto Morales S.R.L.,30-32165489-9,AGENTE /IMPOSITIVO,4,Roberto Morales,roberto.morales@correo.zom,8901-2345,84.567,2024-03-27,36,,Argentina
P00069,Proveedores Beta S.A.,30-45678907-0,SERVICIOS,5,Proveedores Beta,proveedores.beta@empresa.zom,9012-3456,123.157,2024-06-21,38,,Argentina
P00070,Mariana López S.R.L.,30-98765436-1,SERVICIOS,4,Mariana López,mariana.lopez@correo.zom,0123-4567,66.873,2024-03-11,19,,Argentina
P00071,Servicios Gamma S.A.,30-13579250-2,AGENTE /IMPOSITIVO,5,Servicios Gamma,servicios.gamma@correo.zom,1234-5678,202.261,2024-03-03,21,,Argentina
P00072,Estudio Consultores S.R.L.,30-24681363-3,SERVICIOS,4,Estudio Consultores,estudio.consultores@empresa.zom,2345-6789,39.168,2024-02-06,24,,Argentina
P00073,Andrés García S.A.,30-97531251-4,MATERIALES,5,Andrés García,andres.garcia@correo.zom,3456-7890,24.573,2024-06-13,27,,Argentina
P00073,Andrés García S.A.,30-97531251-4,MATERIALES,5,Andrés García,andres.garcia@correo.zom,3456-7890,75.07,2024-03-18,27,,Argentina
P00074,Proveedora S.R.L.,30-86430982-5,AGENTE /IMPOSITIVO,4,Proveedora SRL,proveedora.srl@correo.zom,4567-8901,86.825,2024-06-04,36,,Argentina
P00074,Proveedora S.R.L.,30-86430982-5,AGENTE /IMPOSITIVO,4,Proveedora SRL,proveedora.srl@correo.zom,4567-8901,74.744,2024-05-10,36,,Argentina
P00075,Servicios Alpha S.A.,30-19283753-6,SERVICIOS,5,Servicios Alpha,servicios.alpha@correo.zom,5678-9012,30.219,2024-05-03,38,,Argentina
P00075,Servicios Alpha S.A.,30-19283753-6,SERVICIOS,5,Servicios Alpha,servicios.alpha@correo.zom,5678-9012,215.609,2024-06-30,38,,Argentina
P00076,Repuestos Beta S.R.L.,30-32165490-7,SERVICIOS,4,Repuestos Beta,repuestos.beta@empresa.zom,6789-0123,79.911,2024-05-10,19,,Argentina
P00076,Repuestos Beta S.R.L.,30-32165490-7,SERVICIOS,4,Repuestos Beta,repuestos.beta@empresa.zom,6789-0123,112.002,2024-04-18,19,,Argentina
P00077,Javier Rodríguez S.A.,30-45678908-8,SERVICIOS,5,Javier Rodríguez,javier.rodriguez@correo.com,7890-1234,111.243,2024-03-22,21,,Argentina
P00077,Javier Rodríguez S.A.,30-45678908-8,SERVICIOS,5,Javier Rodríguez,javier.rodriguez@correo.com,7890-1234,135.738,2024-04-20,21,,Argentina
P00078,Servicios Gamma S.R.L.,30-97531252-9,MATERIALES,4,Servicios Gamma,servicios.gamma@correo.zom,8901-2345,143.033,2024-04-08,24,,Argentina
P00078,Servicios Gamma S.R.L.,30-97531252-9,MATERIALES,4,Servicios Gamma,servicios.gamma@correo.zom,8901-2345,210.166,2024-06-15,24,,Argentina
P00079,Ana Morales S.A.A,30-86430983-0,AGENTE /IMPOSITIVO,5,Ana Morales,ana.morales@correo.zom,9012-3456,38.459,2024-05-21,27,,Argentina
P00079,Ana Morales S.A.A,30-86430983-0,AGENTE /IMPOSITIVO,5,Ana Morales,ana.morales@correo.zom,9012-3456,155.264,2024-05-30,27,,Argentina
P00080,Consultora Beta S.R.L.,30-13579251-1,SERVICIOS,4,Consultora Beta,consultora.beta@correo.zom,0123-4567,248.564,2024-06-22,38,,Argentina
P00080,Consultora Beta S.R.L.,30-13579251-1,SERVICIOS,4,Consultora Beta,consultora.beta@correo.zom,0123-4567,19.483,2024-01-12,36,,Argentina
P00080,Consultora Beta S.R.L.,30-13579251-1,SERVICIOS,4,Consultora Beta,consultora.beta@correo.zom,0123-4567,228.756,2024-02-16,38,,Argentina
P00080,Consultora Beta S.R.L.,30-13579251-1,SERVICIOS,4,Consultora Beta,consultora.beta@correo.zom,0123-4567,202.092,2024-06-09,36,,Argentina
P00081,Estudio Jurídico Zeta S.A.,30-24681364-2,SERVICIOS,5,Estudio Jurídico,estudio.zeta@correo.zom,1234-5678,98.664,2024-04-01,19,,Argentina
P00081,Estudio Jurídico Zeta S.A.,30-24681364-2,SERVICIOS,5,Estudio Jurídico,estudio.zeta@correo.zom,1234-5678,88.494,2024-02-11,19,,Argentina
P00082,Gabriela Torres S.R.L.,30-97531253-3,SERVICIOS,4,Gabriela Torres,gabriela.torres@correo.com,2345-6789,130.478,2024-05-16,21,,Argentina
P00082,Gabriela Torres S.R.L.,30-97531253-3,SERVICIOS,4,Gabriela Torres,gabriela.torres@correo.com,2345-6789,39.175,2024-02-15,21,,Argentina
P00083,Proveedora Gamma S.A.,30-86430984-4,MATERIALES,5,Proveedora Gamma,proveedora.gamma@empresa.zom,3456-7890,138.336,2024-02-12,24,,Argentina
P00083,Proveedora Gamma S.A.,30-86430984-4,MATERIALES,5,Proveedora Gamma,proveedora.gamma@empresa.zom,3456-7890,73.957,2024-02-16,24,,Argentina
P00084,Fernando Pérez S.R.L.,30-19283754-5,SERVICIOS,4,Fernando Pérez,fernando.perez@correo.zom,4567-8901,202.128,2024-02-12,27,,Argentina
P00084,Fernando Pérez S.R.L.,30-19283754-5,SERVICIOS,4,Fernando Pérez,fernando.perez@correo.zom,4567-8901,219.093,2024-01-05,27,,Argentina
P00085,Estudio Consultores S.A.A,30-32165491-6,MATERIALES,5,Estudio Consultores,estudio.consultores@correo.com,5678-9012,60.583,2024-06-09,36,,Argentina
P00085,Estudio Consultores S.A.A,30-32165491-6,MATERIALES,5,Estudio Consultores,estudio.consultores@correo.com,5678-9012,134.052,2024-02-09,36,,Argentina
P00086,Ana Gómez S.R.L.,30-45678909-7,SERVICIOS,4,Ana Gómez,ana.gomez@empresa.zom,6789-0123,110.248,2024-02-28,38,,Argentina
P00086,Ana Gómez S.R.L.,30-45678909-7,SERVICIOS,4,Ana Gómez,ana.gomez@empresa.zom,6789-0123,95.58,2024-06-14,38,,Argentina
P00087,Consultora Zeta S.R.L.,30-97531254-8,SERVICIOS,5,Consultora Zeta,consultora.zeta@correo.zom,7890-1234,171.619,2024-03-19,19,,Argentina
P00087,Consultora Zeta S.R.L.,30-97531254-8,SERVICIOS,5,Consultora Zeta,consultora.zeta@correo.zom,7890-1234,127.588,2024-03-06,19,,Argentina
P00088,Repuestos & Co. S.R.L.,,AGENTE /IMPOSITIVO,4,Repuestos & Co.,repuestos.co@correo.zom,8901-2345,165.876,2024-05-06,21,,Argentina
P00088,Repuestos & Co. S.R.L.,,AGENTE /IMPOSITIVO,4,Repuestos & Co.,repuestos.co@correo.zom,8901-2345,161.283,2024-05-17,21,,Argentina
P00089,Mariana Morales S.A.,30-13579252-0,SERVICIOS,5,Mariana Morales,mariana.morales@correo.com,9012-3456,243.339,2024-01-18,24,,Argentina
P00089,Mariana Morales S.A.,30-13579252-0,SERVICIOS,5,Mariana Morales,mariana.morales@correo.com,9012-3456,160.81,2024-01-25,24,,Argentina
P00090,Servicios Consultora S.R.L.,,MATERIALES,4,Servicios Consultora,servicios.consultora@empresa.zom,0123-4567,247.318,2024-03-06,27,,Argentina
P00090,Servicios Consultora S.R.L.,,MATERIALES,4,Servicios Consultora,servicios.consultora@empresa.zom,0123-4567,140.396,2024-03-03,27,,Argentina
P00091,Pedro Morales S.A.,30-97531255-2,AGENTE /IMPOSITIVO,5,Pedro Morales,pedro.morales@correo.zom,1234-5678,193.959,2024-04-18,36,,Argentina
P00091,Pedro Morales S.A.,30-97531255-2,AGENTE /IMPOSITIVO,5,Pedro Morales,pedro.morales@correo.zom,1234-5678,209.036,2024-06-29,36,,Argentina
P00092,Consultora Zeta S.R.L.,30-86430986-3,SERVICIOS,4,Consultora Zeta,consultora.zeta@empresa.zom,2345-6789,19.014,2024-01-19,38,,Argentina
P00092,Consultora Zeta S.R.L.,30-86430986-3,SERVICIOS,4,Consultora Zeta,consultora.zeta@empresa.zom,2345-6789,204.823,2024-02-22,38,,Argentina
P00093,Servicios Proveedores S.A.,30-13579253-4,SERVICIOS,5,Servicios Proveedores,servicios.proveedores@correo.zom,3456-7890,151.263,2024-06-27,19,,Argentina
P00093,Servicios Proveedores S.A.,30-13579253-4,SERVICIOS,5,Servicios Proveedores,servicios.proveedores@correo.zom,3456-7890,135.868,2024-01-09,19,,Argentina
P00094,Gabriela Martínez S.R.L.,30-24681366-5,AGENTE /IMPOSITIVO,4,Gabriela Martínez,gabriela.martinez@empresa.zom,4567-8901,220.046,2024-03-02,21,,Argentina
P00094,Gabriela Martínez S.R.L.,30-24681366-5,AGENTE /IMPOSITIVO,4,Gabriela Martínez,gabriela.martinez@empresa.zom,4567-8901,37.732,2024-03-21,21,,Argentina
P00095,Servicios Consultores S.A.,30-97531256-6,SERVICIOS,5,Servicios Consultores,servicios.consultores@correo.com,5678-9012,176.507,2024-03-30,24,,Argentina
P00095,Servicios Consultores S.A.,30-97531256-6,SERVICIOS,5,Servicios Consultores,servicios.consultores@correo.com,5678-9012,80.841,2024-06-28,24,,Argentina
P00096,Mariana Fernández S.R.L.,30-86430987-7,MATERIALES,4,Mariana Fernández,mariana.fernandez@correo.com,6789-0123,197.447,2024-03-04,27,,Argentina
P00096,Mariana Fernández S.R.L.,30-86430987-7,MATERIALES,4,Mariana Fernández,mariana.fernandez@correo.com,6789-0123,204.006,2024-05-11,27,,Argentina
P00097,Proveedora Consultora S.A.A,30-19283755-8,SERVICIOS,5,Proveedora Consultora,proveedora.consultora@empresa.zom,7890-1234,56.026,2024-03-16,36,,Argentina
P00097,Proveedora Consultora S.A.A,30-19283755-8,SERVICIOS,5,Proveedora Consultora,proveedora.consultora@empresa.zom,7890-1234,124.891,2024-06-30,36,,Argentina
P00098,Consultora Alpha S.R.L.,30-32165492-9,MATERIALES,4,Consultora Alpha,consultora.alpha@correo.zom,8901-2345,158.472,2024-04-04,38,,Argentina
P00098,Consultora Alpha S.R.L.,30-32165492-9,MATERIALES,4,Consultora Alpha,consultora.alpha@correo.zom,8901-2345,174.377,2024-02-25,38,,Argentina
P00099,Servicios Repuestos S.A.,30-45678910-0,SERVICIOS,5,Servicios Repuestos,servicios.repuestos@correo.com,9012-3456,229.885,2024-05-26,19,,Argentina
P00099,Servicios Repuestos S.A.,30-45678910-0,SERVICIOS,5,Servicios Repuestos,servicios.repuestos@correo.com,9012-3456,50.432,2024-06-03,19,,Argentina
P00100,Gabriela Morales S.R.L.,30-98765437-1,MATERIALES,4,Gabriela Morales,gabriela.morales@empresa.zom,0123-4567,11.66,2024-01-31,21,,Argentina
P00100,Gabriela Morales S.R.L.,30-98765437-1,MATERIALES,4,Gabriela Morales,gabriela.morales@empresa.zom,0123-4567,213.343,2024-01-07,21,,Argentina
P00001,Proveedora S.A.,30-12345678-9,SERVIC/OS,5,Juan Pérez,juan.perez@empresa.com,1234-5678,171.488,2024-03-18,19,Buenos Aires,Argentina
P00002,Pedro González S.R.L.,30-87654321-0,SERVIC/OS,4,Pedro González,pedro.gonzalez@correo.zom,2345-6789,288.255,2024-02-08,21,Cordoba,Argentina
P00003,Empresa XYZ S.A.,30-13579246-3,MATER/IALES,5,María López,maria.lopez@empresa.com,3456-7890,195.975,2024-01-18,24,Rosario,Argentina
P00004,Servicios AB S.R.L.,30-24681357-2,AGENTE /IMPOSITIVO,5,Laura Ruiz,laura.ruiz@correo.zom,AR4567-8901,158.607,2024-03-09,27,Mendoza,Argentina
P00005,Carlos Méndez S.A.,30-12345678-9,SERVIC/OS,4,Carlos Méndez,carlos.mendez@correo.com,5678-9012,238.101,2024-03-28,38,Buenos Aires,Argentina
P00005,Carlos Méndez S.A.,30-12345678-9,SERVIC/OS,4,Carlos Méndez,carlos.mendez@correo.com,5678-9012,288.617,2024-04-14,38,Buenos Aires,Argentina
