Número,Nombre,Nombre,Tipo,Contacto,Cargo,Correo Electrónico,Teléfono,Observaciones,Razon Social,tipo_contribuyente_id,CUIT,Alta,Baja,Activo,Frecuencia,Importe,nro_cuenta_id,Fecha de la donacion
D00077,Luis Martínez,Luis Martínez,Individuo,Contacto YYY,Secretario,Luis Martínez@example,(011) 5000-0077,Observación 77,,4,26-78901231-4,20/06/2024,,SI,Bimestral,$130.340,7,
D00078,Julia González,Julia González,Individuo,Contacto ZZZ,Analista,Julia González@example.com,(011) 5000-0078,Observación 78,,1,27-89012332-5,13/03/2024,01/04/2024,NO,Anual,$90.786,7,
D00079,Ricardo López,Ricardo López,,Contacto AAAA,Director,Ricardo López@example.com,(011) 5000-0079,Observación 79,,5,28-90123463-6,06/03/2024,01/04/2024,NO,Mensual,$188.151,7,
D00080,Silvia Ramírez,Silvia Ramírez,Individuo,Contacto BBBB,Gerente,Silvia Ramírez@example.com,(011) 5000-0080,Observación 80,,4,29-01234574-7,30/06/2024,,SI,Bimestral,$136.947,7,
D00081,Martín Vargas,Martín Vargas,Individuo,Contacto CCCC,Coordinador,Martín Vargas@example.com,(011) 5000-0081,Observación 81,,1,20-12345686-0,16/02/2024,01/04/2024,NO,Anual,$165.727,7,
D00082,Natalia Castro,Natalia Castro,Individuo,Contacto DDDD,Asistente,Natalia Castro@example.com,(011) 5000-0082,Observación 82,,5,21-23456787-1,24/06/2024,,SI,Mensual,$114.296,6,
D00083,alejandra Peña,alejandra Peña,Individuo,Contacto EEEE,Secretario,alejandra Peña@example,(011) 5000-0083,Observación 83,,4,22-34567898-2,15/03/2024,01/04/2024,NO,Bimestral,$76.383,7,
D00084,Santiago López,Santiago López,Individuo,Contacto FFFF,Analista,Santiago López@example.com,(011) 5000-0084,Observación 84,,1,23-45678909-3,18/06/2024,,SI,Anual,$137.963,7,
D00085,Verónica Ruiz,Verónica Ruiz,Individuo,Contacto GGGG,Director,Verónica Ruiz@example.com,(011) 5000-0085,Observación 85,,5,24-56789020-4,08/02/2024,01/04/2024,NO,Mensual,$63.095,6,
D00086,Andrés Silva,Andrés Silva,Individuo,Contacto HHHH,Gerente,Andrés Silva@example.com,(011) 5000-0086,Observación 86,,4,25-67890131-5,05/04/2024,,SI,Bimestral,$113.891,7,
D00087,Patricia Gómez,Patricia Gómez,Individuo,Contacto IIII,Coordinador,Patricia Gómez@example.com,(011) 5000-0087,Observación 87,,1,26-78901232-6,22/02/2024,01/04/2024,NO,Anual,$125.419,7,
D00088,Javier Morales,Javier Morales,Individuo,Contacto JJJJ,Asistente,Javier Morales@example.com,(011) 5000-0088,Observación 88,,5,27-89012333-7,28/06/2024,,SI,Mensual,$121.338,6,
D00089,Liliana Romero,Liliana Romero,Individuo,Contacto KKKK,Secretario,Liliana Romero@example.com,(011) 5000-0089,Observación 89,,4,28-90123464-8,10/06/2024,,SI,Bimestral,$58.739,7,
D00090,Maximiliano Álvarez,Maximiliano Álvarez,Individuo,Contacto LLLL,Analista,Maximiliano Álvarez@example.com,(011) 5000-0090,Observación 90,,1,29-01234575-9,10/04/2024,,SI,Anual,$65.020,7,
D00091,Elena Bravo,Elena Bravo,Individuo,Contacto MMMM,Director,Elena Bravo@example.com,(011) 5000-0091,Observación 91,,5,20-12345687-0,22/04/2024,,SI,Mensual,$163.410,6,
D00092,Hugo Fernández,Hugo Fernández,Individuo,Contacto NNNN,Gerente,Hugo Fernández@example.com,(011) 5000-0092,Observación 92,,4,21-23456788-1,09/03/2024,01/04/2024,NO,Bimestral,$123.679,7,
D00093,Diana Morales,Diana Morales,Individuo,Contacto OOOO,Coordinador,Diana Morales@example.com,(011) 5000-0093,Observación 93,,1,22-34567889-2,29/01/2024,01/04/2024,NO,Anual,$126.605,7,
D00094,Rodrigo Medina,Rodrigo Medina,,Contacto PPPP,Asistente,Rodrigo Medina@example.com,(011) 5000-0094,Observación 94,,5,23-45678990-3,02/04/2024,,SI,Mensual,$84.706,7,
D00095,Margarita Jiménez,Margarita Jiménez,Individuo,Contacto QQQQ,Secretario,Margarita Jiménez@example,(011) 5000-0095,Observación 95,,4,24-56789001-4,22/02/2024,01/04/2024,NO,Bimestral,$195.855,7,
D00096,Emilio Soto,Emilio Soto,Individuo,Contacto RRRR,Analista,Emilio Soto@example.com,(011) 5000-0096,Observación 96,,1,25-67890122-5,15/04/2024,,SI,Anual,$114.424,7,
D00096,Emilio Soto,Emilio Soto,Individuo,Contacto RRRR,Analista,Emilio Soto@example.com,(011) 5000-0096,Observación 96,,1,25-67890122-5,15/04/2024,,SI,Anual,$110.881,7,
D00096,Emilio Soto,Emilio Soto,Individuo,Contacto RRRR,Analista,Emilio Soto@example.com,(011) 5000-0096,Observación 96,,1,25-67890122-5,15/04/2024,,SI,Anual,$57.867,7,
D00097,Rocío Cabrera,Rocío Cabrera,Individuo,Contacto SSSS,Director,Rocío Cabrera@example.com,(011) 5000-0097,Observación 97,,5,26-78901233-6,28/05/2024,,SI,Mensual,$139.723,6,
D00098,Pablo Fernández,Pablo Fernández,Individuo,Contacto TTTT,Gerente,Pablo Fernández@example.com,(011) 5000-0098,Observación 98,,4,27-89012344-7,05/05/2024,,SI,Bimestral,$133.131,7,
D00099,Belén Gómez,Belén Gómez,Individuo,Contacto UUUU,Coordinador,Belén Gómez@example.com,(011) 5000-0099,Observación 99,,1,28-90123455-8,25/01/2024,01/04/2024,NO,Anual,$162.961,7,
D00100,Roberto Morales,Roberto Morales,Individuo,Contacto VVVV,Asistente,Roberto Morales@example.com,(011) 5000-0100,Observación 100,,5,29-01234576-9,26/02/2024,01/04/2024,NO,Mensual,$156.325,6,
D00101,Donaciones Co. SRL,Donaciones Co.,Empresa,Contacto VVVV,-,Donaciones Co.@example.com,(011) 5000-0101,Observación 101,SRL,5,29-01234576-10,31/05/2024,,si,Anual,$120.000,14,
D00102,Ayuda Empresarial SA,Ayuda Empresarial,Empresa,Contacto VVVV,-,Ayuda Empresarial S.A.@example.com,(011) 5000-0102,Observación 102,SA,5,29-01234576-11,01/06/2024,,si,Anual,$150.000,14,
D00103,Donativos y Más SRL,Donativos y Más,Empresa,Contacto VVVV,-,Donativos y Más S.R.L.@example.com,(011) 5000-0103,Observación 103,SRL,5,29-01234576-12,02/06/2024,,si,Bimestral,$200.000,14,
D00104,Apoyo Corporativo SA,Apoyo Corporativo,Empresa,Contacto VVVV,-,Apoyo Corporativo S.A.@example.com,(011) 5000-0104,Observación 104,SA,5,29-01234576-13,03/06/2024,,si,Bimestral,$180.000,14,
D00105,Fundación Empresarial SA,Fundación Empresarial,Empresa,Contacto VVVV,-,Fundación Empresarial@example.com,(011) 5000-0105,,SA,5,29-01234576-14,04/06/2024,,si,Bimestral,$220.000,14,
D00106,Ministerio Desarrollo Social GOB,Ministerio Desarrollo Social,Estado,,-,ministeriods@example.gob,(011) 652389745,Observación 106,GOB,1,30-0000000-25,01/01/2024,,SI,Mensual,$650.000,11,
D00107,Campaña un Sol para todos SA,Campaña un Sol para todos,Campaña,Contacto VVVV,-,solparatodos@example.gov,(011) 652389746,Observación 107,SA,1,30-0000000-85,02/02/2024,,SI,Anual,$780.000,7,
D00108,Iniciativa Solidaria SAS,Iniciativa Solidaria,Empresa,Contacto C,,iniciativasolidaria@mail.com,(+)55 5747-7433,Observación D,SAS,4,24-91224120-6,4/10/2022,20/08/2024,NO,Bimestral,$281.342,11,4/10/2022
D00108,Iniciativa Solidaria SAS,Iniciativa Solidaria,Empresa,Contacto C,,iniciativasolidaria@mail.com,(+)55 5747-7433,Observación D,SAS,4,24-91224120-6,4/10/2022,20/08/2024,NO,Bimestral,$383.818,11,4/12/2022
D00108,Iniciativa Solidaria SAS,Iniciativa Solidaria,Empresa,Contacto C,,iniciativasolidaria@mail.com,(+)55 5747-7433,Observación D,SAS,4,24-91224120-6,4/10/2022,20/08/2024,NO,Bimestral,$217.763,11,04/02/2023
D00108,Iniciativa Solidaria SAS,Iniciativa Solidaria,Empresa,Contacto C,,iniciativasolidaria@mail.com,(+)55 5747-7433,Observación D,SAS,4,24-91224120-6,4/10/2022,20/08/2024,NO,Bimestral,$424.093,11,04/04/2023
D00108,Iniciativa Solidaria SAS,Iniciativa Solidaria,Empresa,Contacto C,,iniciativasolidaria@mail.com,(+)55 5747-7433,Observación D,SAS,4,24-91224120-6,4/10/2022,20/08/2024,NO,Bimestral,$191.399,11,04/06/2023
D00108,Iniciativa Solidaria SAS,Iniciativa Solidaria,Empresa,Contacto C,,iniciativasolidaria@mail.com,(+)55 5747-7433,Observación D,SAS,4,24-91224120-6,4/10/2022,20/08/2024,NO,Bimestral,$390.950,11,04/08/2023
D00108,Iniciativa Solidaria SAS,Iniciativa Solidaria,Empresa,Contacto C,,iniciativasolidaria@mail.com,(+)55 5747-7433,Observación D,SAS,4,24-91224120-6,4/10/2022,20/08/2024,NO,Bimestral,$797.809,11,4/10/2023
D00108,Iniciativa Solidaria SAS,Iniciativa Solidaria,Empresa,Contacto C,,iniciativasolidaria@mail.com,(+)55 5747-7433,Observación D,SAS,4,24-91224120-6,4/10/2022,20/08/2024,NO,Bimestral,$596.040,11,4/12/2023
D00108,Iniciativa Solidaria SAS,Iniciativa Solidaria,Empresa,Contacto C,,iniciativasolidaria@mail.com,(+)55 5747-7433,Observación D,SAS,4,24-91224120-6,4/10/2022,20/08/2024,NO,Bimestral,$683.505,11,04/02/2024
D00108,Iniciativa Solidaria SAS,Iniciativa Solidaria,Empresa,Contacto C,,iniciativasolidaria@mail.com,(+)55 5747-7433,Observación D,SAS,4,24-91224120-6,4/10/2022,20/08/2024,NO,Bimestral,$627.181,11,04/04/2024
D00108,Iniciativa Solidaria SAS,Iniciativa Solidaria,Empresa,Contacto C,,iniciativasolidaria@mail.com,(+)55 5747-7433,Observación D,SAS,4,24-91224120-6,4/10/2022,20/08/2024,NO,Bimestral,$659.415,11,04/06/2024
D00108,Iniciativa Solidaria SAS,Iniciativa Solidaria,Empresa,Contacto C,,iniciativasolidaria@mail.com,(+)55 5747-7433,Observación D,SAS,4,24-91224120-6,4/10/2022,20/08/2024,NO,Bimestral,$758.508,11,04/08/2024
D00109,Innovatech Solutions S.A,Innovatech Solutions,Estado,Contacto B,,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,1,24-56588769-6,09/08/2019,,SI,Bimestral,$183.574,11,09/08/2019
D00109,Innovatech Solutions S.A,Innovatech Solutions,Estado,Contacto B,,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,1,24-56588769-6,09/08/2019,,SI,Bimestral,$714.947,11,15/10/2019
D00109,Innovatech Solutions S.A,Innovatech Solutions,Estado,Contacto B,,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,1,24-56588769-6,09/08/2019,,SI,Bimestral,$249.584,11,20/12/2019
D00109,Innovatech Solutions S.A,Innovatech Solutions,Estado,Contacto B,,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,1,24-56588769-6,09/08/2019,,SI,Bimestral,$730.842,11,05/02/2020
